transaction_id,amount,transaction_time,merchant_type,location,device_type,customer_id,is_fraud
1,1873.33,17266,Travel,Hyderabad,Web,8960,0
2,4753.62,86328,Food,Bangalore,Mobile,1357,0
3,3660.24,85988,Shopping,Hyderabad,POS,1377,0
4,2993.69,43526,Bills,Hyderabad,POS,5488,0
5,780.94,11889,Online,Hyderabad,Web,5797,0
6,780.82,24335,Travel,Hyderabad,Mobile,4307,0
7,291.36,11254,Bills,Hyderabad,POS,3596,0
8,4331.01,11442,Fuel,Chennai,Mobile,1783,0
9,3005.97,46289,Fuel,Bangalore,POS,6924,0
10,3540.65,53747,Online,Hyderabad,Web,3379,0
11,103.9,37327,Food,Hyderabad,Web,8831,0
12,4849.58,16199,Shopping,Hyderabad,Mobile,6267,0
13,4162.38,72827,Travel,Hyderabad,Web,8638,0
14,1062.48,112,Bills,Mumbai,POS,3538,0
15,909.94,19581,Shopping,Mumbai,Web,1861,1
16,917.84,59722,Bills,Delhi,POS,2876,0
17,1521.91,16523,Travel,Hyderabad,POS,4526,0
18,2624.26,66960,Fuel,Delhi,Web,2622,0
19,2160.29,19552,Shopping,Chennai,POS,6518,1
20,1456.85,10808,Online,Delhi,POS,3657,0
21,3059.65,72525,Food,Bangalore,Mobile,2932,0
22,698.33,23620,Online,Mumbai,Mobile,9699,0
23,1461.43,887,Food,Mumbai,Mobile,4478,0
24,1832.44,31802,Bills,Hyderabad,Web,3656,0
25,2280.89,85024,Shopping,Hyderabad,Mobile,1289,0
26,3926.09,81938,Shopping,Chennai,POS,8011,1
27,999.17,26049,Food,Chennai,Web,6858,0
28,2571.66,77789,Fuel,Bangalore,Web,8323,0
29,2962.48,84526,Travel,Hyderabad,Web,3829,0
30,233.21,7846,Online,Hyderabad,Web,6962,1
31,3038.12,46220,Bills,Chennai,POS,5812,0
32,853.45,46163,Online,Chennai,POS,8264,0
33,326.19,3765,Online,Chennai,Mobile,9758,0
34,4744.48,81486,Bills,Mumbai,Web,2473,0
35,4828.19,45270,Bills,Delhi,Mobile,2987,0
36,4042.18,75277,Shopping,Delhi,POS,8673,0
37,1523.76,22931,Online,Hyderabad,Web,4260,1
38,489.26,55633,Travel,Mumbai,POS,8490,0
39,3421.48,80702,Travel,Chennai,Mobile,7739,0
40,2201.32,51913,Food,Hyderabad,POS,4251,0
41,611.07,25991,Bills,Mumbai,Web,6905,0
42,2476.39,54845,Shopping,Bangalore,Web,6300,0
43,172.91,55312,Travel,Mumbai,Mobile,6054,1
44,4546.69,10561,Fuel,Hyderabad,Web,2716,0
45,1294.64,16901,Shopping,Delhi,POS,2310,0
46,3312.95,62875,Shopping,Chennai,POS,1617,0
47,1559.24,25917,Travel,Bangalore,POS,5257,0
48,2600.82,62120,Fuel,Mumbai,POS,7099,0
49,2734.0,1988,Food,Hyderabad,Mobile,1468,0
50,925.09,14256,Travel,Hyderabad,POS,6905,0
51,4847.95,28230,Fuel,Chennai,Mobile,2139,0
52,3875.89,59778,Shopping,Hyderabad,POS,9728,0
53,4697.56,45833,Fuel,Hyderabad,Mobile,1951,0
54,4474.24,22625,Shopping,Chennai,POS,9012,0
55,2989.9,32088,Travel,Bangalore,POS,4006,0
56,4609.45,79650,Bills,Delhi,Mobile,7075,0
57,443.37,41167,Travel,Delhi,Web,8890,0
58,980.72,71291,Online,Mumbai,Web,6952,0
59,227.09,65303,Online,Bangalore,Web,8077,0
60,1627.33,76361,Online,Mumbai,Mobile,2971,0
61,1944.0,4117,Travel,Delhi,Web,2191,0
62,1357.47,60710,Food,Chennai,Web,4920,0
63,4143.86,67054,Travel,Hyderabad,Mobile,8765,0
64,1784.41,30949,Bills,Delhi,Web,7193,0
65,1405.39,22547,Fuel,Bangalore,Web,4046,0
66,2713.94,81882,Travel,Delhi,Web,1304,0
67,705.48,68136,Travel,Bangalore,Mobile,7339,0
68,4011.18,64619,Shopping,Bangalore,Mobile,9043,0
69,373.68,61842,Shopping,Bangalore,Web,5908,0
70,4934.45,26990,Shopping,Mumbai,Web,3804,0
71,3861.45,16193,Travel,Chennai,Mobile,4936,0
72,994.38,30109,Food,Delhi,Web,1712,0
73,28.61,19233,Fuel,Chennai,Mobile,7848,0
74,4077.49,81730,Fuel,Hyderabad,Web,9366,0
75,3534.58,34510,Bills,Delhi,Mobile,4205,0
76,3645.31,1306,Food,Chennai,POS,6185,0
77,3856.58,3849,Food,Chennai,POS,7506,0
78,371.15,12360,Fuel,Hyderabad,Mobile,2772,0
79,1792.97,45800,Online,Bangalore,POS,2074,0
80,580.23,36963,Shopping,Delhi,Web,6447,0
81,4315.65,54330,Shopping,Delhi,Mobile,9783,0
82,3116.87,51707,Fuel,Hyderabad,Mobile,6264,0
83,1655.16,18689,Food,Bangalore,Web,8322,0
84,318.73,29084,Bills,Delhi,Web,7651,1
85,1555.6,40387,Online,Delhi,Mobile,3410,0
86,1626.59,74816,Fuel,Delhi,Web,7441,0
87,3648.3,2642,Shopping,Bangalore,Mobile,9685,0
88,3188.15,42137,Travel,Hyderabad,Web,9737,0
89,4436.18,79832,Food,Delhi,Mobile,4956,0
